staff_id,staff_name,position,department,start_date,email
S0001,James Smith,Salesperson,Sales,2022-03-06,ajarvis@example.com
S0002,Rodney Lane,Salesperson,Service,2022-04-26,yporter@example.net
S0003,Michelle Bryan,Manager,Service,2019-10-31,mckenziegay@example.com
S0004,Kyle Walsh,Technician,Administration,2019-05-12,rbautista@example.com
S0005,Lisa Snyder,Salesperson,Management,2020-10-21,vstephens@example.org
S0006,Vincent Jones,Technician,Service,2021-05-17,nicholas94@example.net
S0007,Jason Hernandez,Manager,Sales,2021-04-20,hreyes@example.org
S0008,Ashley Rhodes,Salesperson,Management,2023-01-03,martinezangela@example.com
S0009,Lisa Huff,Manager,Sales,2021-07-02,codysoto@example.org
S0010,Scott Fernandez,Salesperson,Administration,2022-03-06,francisrobert@example.net
S0011,Michael Rodriguez,Technician,Sales,2023-01-24,ryan28@example.net
S0012,James Moran,Manager,Administration,2020-09-03,rmccoy@example.com
S0013,Lauren Young,Clerk,Sales,2021-04-18,emilywillis@example.net
S0014,Larry Hines,Manager,Management,2022-07-01,riveratonya@example.org
S0015,Jordan Dennis,Technician,Service,2020-05-29,jamesbrooks@example.com
S0016,Joel Anderson,Technician,Administration,2021-10-28,jwest@example.com
S0017,Zachary Caldwell,Technician,Sales,2023-12-05,sanfordandrea@example.net
S0018,Joyce Parker,Clerk,Service,2021-02-25,elee@example.com
S0019,Kyle Leonard,Salesperson,Service,2022-12-30,christophersellers@example.org
S0020,Heather Mccall,Technician,Management,2023-07-12,ruizrichard@example.net
S0021,James Wilson,Salesperson,Management,2023-05-11,lisa32@example.org
S0022,Jeffrey Alexander,Salesperson,Sales,2023-01-20,adamking@example.org
S0023,Richard Alexander,Salesperson,Service,2019-10-09,phillipsdeanna@example.net
S0024,John Schaefer,Clerk,Administration,2023-09-13,sstephens@example.org
S0025,Sabrina Murphy,Technician,Service,2022-05-18,ewilson@example.org
S0026,Dennis Ellison,Technician,Management,2021-05-30,christopher47@example.com
S0027,Peter Morales,Salesperson,Sales,2022-09-23,taylor84@example.com
S0028,James Mack,Clerk,Sales,2020-11-18,rtaylor@example.com
S0029,Abigail Conner,Manager,Service,2021-06-21,clarkjames@example.org
S0030,Kelly Lara,Salesperson,Service,2023-09-09,arogers@example.org
S0031,Michelle Turner,Salesperson,Sales,2023-07-03,haleythomas@example.org
S0032,Mary Barajas,Salesperson,Service,2023-02-11,scottgray@example.com
S0033,Teresa Jefferson,Technician,Management,2020-07-08,tmeza@example.com
S0034,Caitlin Rogers,Technician,Service,2021-09-28,riveramichael@example.com
S0035,Matthew Patterson,Manager,Administration,2020-10-14,eric09@example.org
S0036,Olivia Charles,Technician,Administration,2023-09-10,tjones@example.net
S0037,Amy Lester,Manager,Sales,2019-07-01,crawfordtroy@example.com
S0038,Mary Macdonald,Salesperson,Management,2019-12-30,campbellbrandi@example.net
S0039,Trevor Lara,Clerk,Management,2020-11-11,garyrobles@example.net
S0040,Zachary Russo,Salesperson,Management,2022-12-15,andradestephen@example.org
S0041,Tracey Le,Clerk,Service,2020-12-25,carmstrong@example.org
S0042,Gwendolyn Jones,Technician,Sales,2022-10-25,zhernandez@example.org
S0043,Stacy Ruiz,Technician,Sales,2019-06-04,dshelton@example.net
S0044,Shelly Simmons,Technician,Management,2020-10-04,sethcummings@example.net
S0045,Dustin Rogers,Clerk,Administration,2022-04-12,reynoldsveronica@example.org
S0046,Jennifer Whitehead,Clerk,Administration,2022-10-21,melindarobinson@example.com
S0047,Deborah Hill,Salesperson,Administration,2022-11-30,vnunez@example.com
S0048,Kristin Wilson,Manager,Management,2022-09-23,dominguezrobert@example.org
S0049,Vicki Salinas,Clerk,Administration,2023-11-04,roachpenny@example.org
S0050,Shannon Gregory,Manager,Service,2019-10-20,nathanieltorres@example.net
S0051,Paul Ross,Salesperson,Administration,2020-11-10,lindsayray@example.com
S0052,Jessica Barton,Manager,Management,2023-03-12,tiffanywarren@example.net
S0053,Mr. Hunter Conway,Technician,Sales,2022-07-09,jayblack@example.org
S0054,Ryan Mason,Clerk,Management,2022-04-12,glendamcguire@example.org
S0055,Brandon Dudley MD,Technician,Management,2023-04-05,bpayne@example.org
S0056,Jeremy Gilbert,Salesperson,Sales,2020-07-21,campbellrebecca@example.org
S0057,Jason Kelley,Technician,Sales,2020-09-12,gcurry@example.org
S0058,Gregory Patterson,Salesperson,Sales,2019-07-16,nicolechavez@example.net
S0059,Stacy Patrick,Technician,Sales,2021-03-14,kharmon@example.com
S0060,Joseph Adams,Salesperson,Administration,2022-03-09,fisherfrank@example.com
S0061,Evan Moody,Manager,Management,2024-02-18,zphillips@example.com
S0062,Joseph White,Salesperson,Management,2019-08-30,kimberlywalls@example.com
S0063,Theodore Benson,Technician,Service,2023-03-19,robersonwyatt@example.net
S0064,James King,Salesperson,Administration,2022-06-01,odonnellleon@example.org
S0065,Michael Martin,Salesperson,Service,2020-11-09,wallersteve@example.net
S0066,Jody Cooke,Manager,Service,2021-07-07,matthewwagner@example.org
S0067,Reginald Benitez,Salesperson,Management,2021-07-09,garciachristian@example.org
S0068,Dorothy Gonzalez,Salesperson,Service,2024-03-16,vpetersen@example.org
S0069,Brittany Kennedy,Clerk,Service,2021-08-08,rodneyharris@example.org
S0070,Jennifer Simmons,Technician,Sales,2021-06-08,kgross@example.com
S0071,Bruce Arellano,Clerk,Sales,2019-05-24,brianna03@example.net
S0072,Jean Hebert,Technician,Administration,2022-06-05,griffithcarlos@example.org
S0073,Paul Harris,Salesperson,Management,2021-10-25,hjones@example.com
S0074,John Lawrence,Technician,Service,2022-08-25,npalmer@example.com
S0075,Ryan Thomas,Salesperson,Administration,2021-07-18,zhudson@example.com
S0076,Daniel Roberts,Salesperson,Service,2019-11-18,annehawkins@example.net
S0077,Megan Walker,Clerk,Sales,2021-06-27,udalton@example.net
S0078,Robert Goodman,Technician,Sales,2022-11-13,rwilliams@example.com
S0079,Meghan Parks,Salesperson,Administration,2019-09-06,charlesrogers@example.net
S0080,Daniel King,Manager,Administration,2022-04-20,wbrown@example.org
S0081,James Simmons,Manager,Sales,2020-09-13,matthew48@example.org
S0082,Chelsea Lawson,Clerk,Administration,2023-12-12,hughesmichelle@example.com
S0083,Matthew Stewart,Clerk,Administration,2022-12-05,ramosmatthew@example.net
S0084,Teresa Hunt DDS,Technician,Service,2021-04-04,hillrobert@example.net
S0085,Julie Delacruz,Technician,Management,2021-04-09,kirkaustin@example.net
S0086,Rebecca Howard,Salesperson,Sales,2022-04-14,sarabrown@example.org
S0087,Patricia Black,Clerk,Administration,2021-03-25,browndeanna@example.com
S0088,Monique Hunter DDS,Manager,Sales,2020-07-12,scottgillespie@example.org
S0089,Stephen Reynolds,Salesperson,Management,2022-09-29,sramirez@example.com
S0090,Denise Briggs,Salesperson,Service,2022-10-07,hartmanmichelle@example.org
S0091,Kimberly Walker,Clerk,Administration,2021-06-21,joseph42@example.org
S0092,Rebecca Francis,Technician,Service,2019-12-03,torresjason@example.net
S0093,Paul Parker,Clerk,Administration,2019-04-08,casey80@example.com
S0094,Steven Young,Technician,Sales,2019-11-13,colonjustin@example.net
S0095,Christine Smith,Manager,Service,2023-01-11,samuel91@example.org
S0096,Angela Payne,Salesperson,Administration,2020-03-20,andrea26@example.org
S0097,Kelly Anderson,Manager,Management,2022-11-15,donald14@example.org
S0098,Courtney Hill,Clerk,Service,2022-10-07,krystal05@example.com
S0099,Joshua Adams,Salesperson,Management,2024-03-05,igarza@example.com
S0100,Deborah Taylor,Clerk,Management,2019-05-14,robin75@example.com
S0101,Kristin Watts,Salesperson,Sales,2021-09-25,moorereginald@example.com
S0102,Katelyn Moreno,Salesperson,Administration,2021-07-09,smithheather@example.com
S0103,Kelly Lane,Technician,Sales,2020-07-14,kelly12@example.com
S0104,Tyler Morgan,Clerk,Administration,2022-04-20,wpace@example.net
S0105,Kelly Lopez,Technician,Sales,2022-11-28,johnblair@example.org
S0106,Jennifer Moore,Salesperson,Sales,2021-07-25,jessica64@example.net
S0107,Denise Rojas,Technician,Service,2022-04-17,youngjodi@example.com
S0108,Michael Garcia,Manager,Service,2022-03-08,iphillips@example.net
S0109,Stacey Martin,Manager,Administration,2021-04-07,fporter@example.com
S0110,Hannah Kim,Salesperson,Management,2019-09-05,matthew79@example.org
S0111,Angela Hurst MD,Clerk,Administration,2022-10-03,bfleming@example.org
S0112,Joseph White,Technician,Administration,2019-07-21,kristinroberts@example.net
S0113,Krista Glover,Salesperson,Management,2022-07-28,katie39@example.com
S0114,John Harris,Salesperson,Administration,2019-06-29,kscott@example.com
S0115,Maria Flynn,Technician,Sales,2020-09-24,kibarra@example.org
S0116,Tracy Murray,Clerk,Service,2022-12-20,andrew76@example.net
S0117,Ryan Petersen,Manager,Administration,2022-12-16,melissaharper@example.org
S0118,Stephanie Taylor,Salesperson,Management,2021-06-22,maxwellbenjamin@example.org
S0119,Jeanne Moyer,Manager,Management,2023-08-28,crivas@example.net
S0120,Jonathan Sanders,Technician,Administration,2022-11-30,williammartin@example.com
S0121,Amanda Parker,Technician,Management,2019-12-01,ramseyanthony@example.net
S0122,Michael Le,Salesperson,Service,2022-05-30,banksnatasha@example.net
S0123,Michele Baldwin,Technician,Administration,2021-12-12,browneduardo@example.org
S0124,Justin Bartlett,Clerk,Sales,2019-05-07,silvamadison@example.com
